"transaction_id";"account_id";"transaction_date";"amount";"description";"category";"status"
3000001;50001;"2023-01-05";-45.67;"Grocery Store";"FOOD";"COMPLETE"
3000002;50001;"2023-01-07";-12.5;"Coffee Shop";"FOOD";"COMPLETE"
3000003;50001;"2023-01-10";500.0;"Paycheck Deposit";"INCOME";"COMPLETE"
3000004;50001;"2023-01-12";-89.99;"Department Store";"SHOPPING";"COMPLETE"
3000005;50001;"2023-01-15";-35.2;"Gas Station";"TRANSPORTATION";"COMPLETE"
3000006;50002;"2023-01-01";25.0;"Interest Payment";"INTEREST";"COMPLETE"
3000007;50002;"2023-01-15";1000.0;"Monthly Transfer";"TRANSFER";"COMPLETE"
3000008;50003;"2023-01-05";-89.99;"Department Store";"SHOPPING";"COMPLETE"
3000009;50003;"2023-01-10";-45.3;"Restaurant";"DINING";"COMPLETE"
3000010;50003;"2023-01-15";150.0;"Payment Received";"PAYMENT";"COMPLETE"
3000011;50004;"2023-01-03";-22.75;"Pharmacy";"HEALTH";"COMPLETE"
3000012;50004;"2023-01-07";-15.5;"Streaming Service";"ENTERTAINMENT";"COMPLETE"
3000013;50004;"2023-01-10";2500.0;"Paycheck Deposit";"INCOME";"COMPLETE"
3000014;50004;"2023-01-12";-120.0;"Utility Bill";"UTILITIES";"COMPLETE"
3000015;50004;"2023-01-18";-65.4;"Supermarket";"FOOD";"COMPLETE"
3000016;50005;"2023-01-01";-385.42;"Loan Payment";"LOAN";"COMPLETE"
3000017;50006;"2023-01-01";41.67;"Interest Payment";"INTEREST";"COMPLETE"
3000018;50006;"2023-01-15";500.0;"Deposit";"DEPOSIT";"COMPLETE"
3000019;50007;"2023-01-05";-75.6;"Electronics Store";"SHOPPING";"COMPLETE"
3000020;50007;"2023-01-08";-32.45;"Restaurant";"DINING";"COMPLETE"
